"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,,
{800; 2364; 910},walk,,{1102; 2360; 986},stop/move/stand,,{1034; 2396; 1006},stop/static/stand,,{1500; 1274; 544},stop/static/seat,,,
{1074; 2426; 1028},walk,,{1132; 2322; 978},stop/move/stand,,{1010; 2410; 1006},stop/static/stand,,{1504; 1256; 542},stop/static/seat,,,
{948; 2390; 880},walk,,{1212; 2296; 982},stop/move/stand,,{1004; 2388; 986},stop/static/stand,,{1502; 1260; 540},stop/static/seat,,,
{1068; 2296; 900},walk,,{1120; 2328; 968},stop/move/stand,,{1008; 2328; 940},stop/static/stand,,{1504; 1258; 542},stop/static/seat,,,
{1140; 2272; 974},walk,,{1132; 2340; 984},stop/move/stand,,{978; 2386; 974},stop/static/stand,,{1502; 1264; 542},stop/static/seat,,,
{1236; 2606; 1290},walk,,{1150; 2336; 990},stop/move/stand,,{988; 2394; 984},stop/static/stand,,{1502; 1266; 540},stop/static/seat,,,
{994; 2288; 998},walk,,{1146; 2140; 852},stop/move/stand,,{988; 2400; 990},stop/static/stand,,{1534; 1192; 536},stop/static/seat,,,
{918; 2514; 1092},walk,,{1130; 2072; 802},stop/move/stand,,{978; 2360; 950},stop/static/stand,,{1558; 1234; 556},stop/static/seat,,,
{540; 2632; 1008},walk,,{936; 2040; 708},stop/move/stand,,{1000; 2312; 922},stop/static/stand,,{1550; 1228; 552},stop/static/seat,,,
{1030; 2490; 944},walk,,{672; 2154; 716},stop/move/stand,,{962; 2312; 914},stop/static/stand,,{1554; 1214; 552},stop/static/seat,,,
{944; 2360; 816},walk,,{756; 2242; 786},stop/move/stand,,{988; 2362; 962},stop/static/stand,,{1556; 1212; 548},stop/static/seat,,,
{1192; 2572; 1090},walk,,{1050; 2140; 810},stop/move/stand,,{980; 2392; 978},stop/static/stand,,{1558; 1228; 556},stop/static/seat,,,
{1220; 2342; 1016},walk,,{1102; 2156; 832},stop/move/stand,,{946; 2394; 966},stop/static/stand,,{1560; 1232; 556},stop/static/seat,,,
{806; 2296; 864},walk,,{980; 2440; 1006},stop/move/stand,,{958; 2434; 1004},stop/static/stand,,{1564; 1224; 560},stop/static/seat,,,
{1120; 2216; 838},walk,,{1026; 2414; 1004},stop/move/stand,,{1000; 2388; 982},stop/static/stand,,{1566; 1228; 560},stop/static/seat,,,
{922; 2308; 864},walk,,{1144; 2374; 1006},stop/move/stand,,{1006; 2372; 968},stop/static/stand,,{1582; 1200; 560},stop/static/seat,,,
{1260; 2354; 996},walk,,{1116; 2322; 956},stop/move/stand,,{1032; 2340; 956},stop/static/stand,,{1578; 1206; 558},stop/static/seat,,,
{1014; 2458; 922},walk,,{1024; 2276; 896},stop/move/stand,,{986; 2348; 946},stop/static/stand,,{1570; 1222; 558},stop/static/seat,,,
{880; 2436; 914},walk,,{1136; 2258; 920},stop/move/stand,,{844; 2378; 922},stop/static/stand,,{1584; 1216; 560},stop/static/seat,,,
{780; 2270; 728},walk,,{1044; 2266; 894},stop/move/stand,,{922; 2484; 1028},stop/static/stand,,{1584; 1206; 568},stop/static/seat,,,
{990; 2280; 922},walk,,{1144; 2130; 836},stop/move/stand,,{1000; 2398; 996},stop/static/stand,,{1586; 1208; 562},stop/static/seat,,,
{972; 2170; 844},walk,,{960; 2624; 1466},stop/move/stand,,{1030; 2346; 960},stop/static/stand,,{1588; 1208; 564},stop/static/seat,,,
{1220; 2388; 932},walk,,{1378; 1570; 768},stop/move/stand,,{1024; 2338; 958},stop/static/stand,,{1588; 1214; 564},stop/static/seat,,,
{1052; 2462; 1014},walk,,{966; 2756; 1454},stop/move/stand,,{1026; 2324; 942},stop/static/stand,,{1590; 1214; 564},stop/static/seat,,,
{688; 2252; 750},walk,,{1824; 2060; 1256},stop/move/stand,,{1046; 2298; 930},stop/static/stand,,{1590; 1212; 564},stop/static/seat,,,
{1042; 2308; 896},walk,,{490; 2138; 712},stop/move/stand,,{1002; 2334; 940},stop/static/stand,,{1590; 1208; 564},stop/static/seat,,,
{806; 2274; 784},walk,,{1326; 2190; 984},stop/move/stand,,{896; 2376; 936},stop/static/stand,,{1588; 1206; 564},stop/static/seat,,,
{1232; 2160; 842},walk,,{1254; 2246; 970},stop/move/stand,,{796; 2368; 904},stop/static/stand,,{1586; 1204; 562},stop/static/seat,,,
{1186; 2382; 990},walk,,{1274; 2320; 1026},stop/move/stand,,{788; 2218; 790},stop/static/stand,,{1584; 1202; 562},stop/static/seat,,,
{1042; 2304; 898},walk,,{1270; 2294; 1006},stop/move/stand,,{852; 2214; 806},stop/static/stand,,{1634; 1276; 612},stop/static/seat,,,
{904; 2240; 824},walk,,{652; 2566; 1004},stop/move/stand,,{844; 2430; 962},stop/static/stand,,{1650; 1290; 624},stop/static/seat,,,
{952; 2326; 890},walk,,{1054; 2486; 1116},stop/move/stand,,{876; 2380; 940},stop/static/stand,,{1630; 1250; 600},stop/static/seat,,,
{1006; 2238; 882},walk,,{1276; 2402; 1116},stop/move/stand,,{862; 2372; 924},stop/static/stand,,{1634; 1254; 602},stop/static/seat,,,
{1136; 2292; 874},walk,,{1296; 2304; 1052},stop/move/stand,,{856; 2364; 914},stop/static/stand,,{1632; 1246; 602},stop/static/seat,,,
