118.1, DistDow,118.71, DistUp,189.9,,,,,,,,
, DistFront,115.12, DistDow,118.59, DistUp,122.91,,,,,,
, DistFront,112.67, DistDow,118.27, DistUp,123.35,,,,,,
, DistFront,111.34, DistDow,118.18, DistUp,122.55,,,,,,
, DistFront,112.57, DistDow,118.61, DistUp,124.27,,,,,,
, DistFront,113.27, DistDow,119.12, DistUp,123.84,,,,,,
, DistFront,116.48, DistDow,119.27, DistUp,124.32,,,,,,
, DistFront,118.98, DistDow,120.14, DistUp,3.76,,,,,,
, DistFront,115.82, DistDow,120.14, DistUp,123.16,,,,,,
, DistFrontMean,118.28, DistDowMean,120.17, DistUpMean,121.9,,,,,,
, DistFront,118.18, DistDow,120.12, DistUp,122.76,,,,,,
